1403,772
1449,701
1467,648
1482,529
1469,407
1407,365
1355,364
1319,365
1291,361
1284,360
1258,355
1218,365
1187,378
1099,400
1015,411
933,420
851,437
813,444
772,452
752,456
758,453
792,439
859,422
910,407
964,394
1049,372
1101,363
1191,355
1314,352
1400,360
1476,382
1565,390
1596,383
1581,374
1507,347
1394,324
1245,307
1125,309
1010,317
906,335
803,362
762,377
771,382
842,412
921,423
974,436
975,434
952,425
873,431
787,483
753,524
733,589
762,633
859,643
966,637
1032,640
1145,655
1191,671
1195,688
1149,697
1101,695
975,688
845,694
724,722
651,756
615,793
577,809
527,833
462,876
449,902
514,916
569,924
677,916
841,891
926,881
1032,860
1147,834
1213,810
1304,770
1404,721
1489,673
1522,645
1524,622
1490,579
1429,542
1346,513
1224,497
1136,498
1053,506
961,526
883,552
854,565
820,594
803,646
814,730
880,832
1012,967
